Date,Velocity - Quarterly
2011-12-15,13.5015
2011-12-16,13.4628
2011-12-17,13.4719
2011-12-18,13.4641
2011-12-19,13.4533
2011-12-20,13.4559
2011-12-21,13.4624
2011-12-22,13.4831
2011-12-23,13.4834
2011-12-24,13.4742
2011-12-25,13.4641
2011-12-26,13.4515
2011-12-27,13.4712
2011-12-28,13.4973
2011-12-29,13.48
2011-12-30,13.4948
2011-12-31,13.4648
2012-01-01,13.4449
2012-01-02,13.4238
2012-01-03,13.3941
2012-01-04,13.3642
2012-01-05,13.3382
2012-01-06,13.3611
2012-01-07,13.3851
2012-01-08,13.3712
2012-01-09,13.3638
2012-01-10,13.3649
2012-01-11,13.3611
2012-01-12,13.36
2012-01-13,13.3514
2012-01-14,13.3489
2012-01-15,13.3472
2012-01-16,13.308
2012-01-17,13.3052
2012-01-18,13.3114
2012-01-19,13.3061
2012-01-20,13.2762
2012-01-21,13.2333
2012-01-22,13.1905
2012-01-23,13.1704
2012-01-24,13.1472
2012-01-25,13.1209
2012-01-26,13.0961
2012-01-27,13.0914
2012-01-28,13.0687
2012-01-29,13.0662
2012-01-30,13.0402
2012-01-31,13.006
2012-02-01,12.9837
2012-02-02,12.9858
2012-02-03,12.9693
2012-02-04,12.9698
2012-02-05,12.9736
2012-02-06,12.9709
2012-02-07,12.859
2012-02-08,12.7711
2012-02-09,12.7551
2012-02-10,12.7393
2012-02-11,12.7395
2012-02-12,12.752
2012-02-13,12.7365
2012-02-14,12.7428
2012-02-15,12.6435
2012-02-16,12.3503
2012-02-17,11.9711
2012-02-18,11.5856
2012-02-19,11.4723
2012-02-20,11.2468
2012-02-21,10.9223
2012-02-22,10.775
2012-02-23,10.6736
