Date,Two-Week Hash Growth
2012-08-04,11.8803
2012-08-05,14.6674
2012-08-06,10.712
2012-08-07,6.93477
2012-08-08,11.6514
2012-08-09,14.4696
2012-08-10,11.3567
2012-08-11,7.74093
2012-08-12,7.75578
2012-08-13,9.80433
2012-08-14,8.02157
2012-08-15,10.2637
2012-08-16,12.8879
2012-08-17,11.4002
2012-08-18,10.8048
2012-08-19,8.6594
2012-08-20,12.3316
2012-08-21,17.7409
2012-08-22,15.588
2012-08-23,11.1172
2012-08-24,11.6894
2012-08-25,13.2896
2012-08-26,12.3237
2012-08-27,10.803
2012-08-28,6.60509
2012-08-29,5.7215
2012-08-30,7.33137
2012-08-31,8.32284
2012-09-01,9.74938
2012-09-02,12.6318
2012-09-03,8.78909
2012-09-04,8.62325
2012-09-05,7.29299
2012-09-06,9.5244
2012-09-07,11.8658
2012-09-08,15.2982
2012-09-09,14.9331
2012-09-10,14.3185
2012-09-11,16.3766
2012-09-12,17.5423
2012-09-13,13.6083
2012-09-14,8.74395
2012-09-15,7.40495
2012-09-16,5.05459
2012-09-17,6.71348
2012-09-18,7.35853
2012-09-19,9.37649
2012-09-20,7.68558
2012-09-21,7.46279
2012-09-22,4.99646
2012-09-23,7.20842
2012-09-24,6.82182
2012-09-25,5.57601
2012-09-26,3.21724
2012-09-27,3.88196
2012-09-28,8.84012
2012-09-29,8.34643
2012-09-30,9.5692
2012-10-01,9.46144
2012-10-02,5.41523
2012-10-03,3.96635
2012-10-04,4.63757
2012-10-05,-0.364108
2012-10-06,-3.13811
2012-10-07,-5.30907
2012-10-08,-8.22999
2012-10-09,-2.39346
2012-10-10,-0.233157
2012-10-11,1.45802
2012-10-12,1.30336
2012-10-13,3.64933
2012-10-14,1.89752
2012-10-15,2.00086
2012-10-16,3.21692
2012-10-17,3.9316
2012-10-18,3.13276
2012-10-19,7.27129
2012-10-20,7.25187
2012-10-21,8.66519
2012-10-22,15.1675
2012-10-23,7.6665
2012-10-24,4.60242
2012-10-25,4.93505
2012-10-26,2.84056
2012-10-27,4.46262
2012-10-28,6.83491
2012-10-29,7.11544
2012-10-30,9.3315
2012-10-31,10.1755
2012-11-01,10.1406
2012-11-02,8.46794
2012-11-03,8.76438
2012-11-04,5.90477
2012-11-05,2.75197
2012-11-06,4.01781
2012-11-07,5.69091
2012-11-08,5.01579
2012-11-09,8.16933
2012-11-10,6.05306
2012-11-11,4.20676
2012-11-12,2.7527
2012-11-13,-0.905134
2012-11-14,-2.25098
2012-11-15,-2.70284
2012-11-16,-4.53485
2012-11-17,-3.98135
2012-11-18,-2.54036
2012-11-19,-2.61266
2012-11-20,-1.41604
2012-11-21,0.0539367
2012-11-22,-0.316264
2012-11-23,-1.15184
2012-11-24,-0.260747
2012-11-25,0.986582
2012-11-26,1.94928
2012-11-27,5.90304
