Date,UTXO Set Size
2011-02-20,94264
2011-02-21,95419
2011-02-22,96763
2011-02-23,97710
2011-02-24,98821
2011-02-25,99881
2011-02-26,100919
2011-02-27,101745
2011-02-28,102727
2011-03-01,103247
2011-03-02,104675
2011-03-03,105533
2011-03-04,107650
2011-03-05,108129
2011-03-06,107819
2011-03-07,108703
2011-03-08,109400
2011-03-09,110344
2011-03-10,110922
2011-03-11,111690
2011-03-12,112211
2011-03-13,112983
2011-03-14,113425
2011-03-15,113406
2011-03-16,113867
2011-03-17,114243
2011-03-18,115037
2011-03-19,115640
2011-03-20,116185
2011-03-21,116999
2011-03-22,118410
2011-03-23,119433
2011-03-24,121140
2011-03-25,122326
2011-03-26,123529
2011-03-27,125066
2011-03-28,126041
2011-03-29,127461
2011-03-30,129198
2011-03-31,130108
2011-04-01,131265
2011-04-02,132144
2011-04-03,133172
2011-04-04,134521
2011-04-05,135857
2011-04-06,137099
2011-04-07,138168
2011-04-08,139256
2011-04-09,140169
2011-04-10,141274
2011-04-11,142196
2011-04-12,142664
2011-04-13,142948
2011-04-14,143627
2011-04-15,145513
2011-04-16,145155
2011-04-17,144256
2011-04-18,145253
2011-04-19,146566
2011-04-20,148091
2011-04-21,147744
2011-04-22,148793
2011-04-23,149814
2011-04-24,150283
2011-04-25,150971
2011-04-26,151216
2011-04-27,152815
2011-04-28,153179
2011-04-29,153743
2011-04-30,155392
2011-05-01,155970
2011-05-02,156283
2011-05-03,157850
2011-05-04,159279
2011-05-05,160208
2011-05-06,161308
2011-05-07,162844
2011-05-08,165225
2011-05-09,166599
2011-05-10,168215
2011-05-11,168820
2011-05-12,169673
2011-05-13,170790
2011-05-14,170893
2011-05-15,173007
2011-05-16,174876
2011-05-17,179324
2011-05-18,182736
2011-05-19,186148
2011-05-20,190715
2011-05-21,193216
2011-05-22,195950
2011-05-23,199854
2011-05-24,203509
2011-05-25,208058
2011-05-26,212918
2011-05-27,215687
2011-05-28,218336
2011-05-29,222000
2011-05-30,226316
2011-05-31,230497
2011-06-01,233352
2011-06-02,236904
2011-06-03,238945
2011-06-04,239266
2011-06-05,243128
2011-06-06,248142
2011-06-07,251563
2011-06-08,254317
2011-06-09,253413
2011-06-10,260139
2011-06-11,265743
2011-06-12,273450
2011-06-13,279396
2011-06-14,284832
2011-06-15,296155
2011-06-16,303146
2011-06-17,308102
2011-06-18,314233
2011-06-19,324476
2011-06-20,332246
2011-06-21,343100
2011-06-22,353356
2011-06-23,366472
2011-06-24,377156
2011-06-25,385870
2011-06-26,391240
2011-06-27,395136
2011-06-28,403132
2011-06-29,409006
2011-06-30,415282
2011-07-01,421992
2011-07-02,435644
2011-07-03,455151
2011-07-04,464371
2011-07-05,472734
2011-07-06,477738
2011-07-07,483199
2011-07-08,489040
2011-07-09,499423
2011-07-10,508361
2011-07-11,522005
2011-07-12,530746
2011-07-13,539964
2011-07-14,551845
2011-07-15,565727
2011-07-16,576891
2011-07-17,586531
2011-07-18,596369
2011-07-19,600175
2011-07-20,607213
2011-07-21,615893
2011-07-22,625635
2011-07-23,633633
2011-07-24,641636
2011-07-25,650657
2011-07-26,658953
2011-07-27,665736
2011-07-28,675055
2011-07-29,684538
2011-07-30,694884
2011-07-31,704092
2011-08-01,714794
2011-08-02,722800
2011-08-03,726903
2011-08-04,729060
2011-08-05,733175
2011-08-06,741448
2011-08-07,746491
2011-08-08,755153
2011-08-09,759741
2011-08-10,765579
2011-08-11,770878
2011-08-12,775532
2011-08-13,778522
2011-08-14,783609
2011-08-15,791074
2011-08-16,793319
2011-08-17,797957
2011-08-18,802098
2011-08-19,810400
2011-08-20,816624
2011-08-21,825727
2011-08-22,834809
2011-08-23,845122
2011-08-24,853998
2011-08-25,862634
2011-08-26,871697
2011-08-27,876223
2011-08-28,882496
2011-08-29,890538
2011-08-30,894677
2011-08-31,898497
2011-09-01,903005
2011-09-02,906018
2011-09-03,909359
2011-09-04,912783
2011-09-05,988379
2011-09-06,992982
2011-09-07,995132
2011-09-08,998572
2011-09-09,1001712
2011-09-10,1000992
2011-09-11,1003183
2011-09-12,1004509
2011-09-13,1006055
2011-09-14,1008883
2011-09-15,1012270
2011-09-16,1013920
2011-09-17,1016576
2011-09-18,1019117
2011-09-19,1023079
2011-09-20,1025134
2011-09-21,1029251
2011-09-22,1029441
2011-09-23,1036050
2011-09-24,1044830
2011-09-25,1053239
2011-09-26,1062615
2011-09-27,1069945
2011-09-28,1076819
2011-09-29,1080321
2011-09-30,1082970
2011-10-01,1085309
2011-10-02,1087700
2011-10-03,1089988
2011-10-04,1092832
2011-10-05,1094430
2011-10-06,1096829
2011-10-07,1099167
2011-10-08,1101694
2011-10-09,1104036
2011-10-10,1106124
2011-10-11,1109018
2011-10-12,1110653
2011-10-13,1112185
2011-10-14,1114005
2011-10-15,1115664
2011-10-16,1118142
2011-10-17,1119941
2011-10-18,1121103
2011-10-19,1123777
2011-10-20,1125912
2011-10-21,1128428
2011-10-22,1131477
2011-10-23,1133763
2011-10-24,1136047
2011-10-25,1139298
2011-10-26,1142316
2011-10-27,1144860
2011-10-28,1146547
2011-10-29,1148112
2011-10-30,1149696
2011-10-31,1151280
2011-11-01,1153933
2011-11-02,1155915
2011-11-03,1157714
2011-11-04,1160048
2011-11-05,1162085
2011-11-06,1164159
2011-11-07,1167125
2011-11-08,1169100
2011-11-09,1170931
2011-11-10,1173474
2011-11-11,1175466
2011-11-12,1177056
2011-11-13,1179350
2011-11-14,1182757
2011-11-15,1184305
2011-11-16,1186871
2011-11-17,1188574
2011-11-18,1189935
2011-11-19,1191783
2011-11-20,1194651
2011-11-21,1195451
2011-11-22,1197863
2011-11-23,1200024
2011-11-24,1201909
2011-11-25,1203280
2011-11-26,1205501
2011-11-27,1207023
2011-11-28,1209514
2011-11-29,1211224
2011-11-30,1211602
2011-12-01,1210933
2011-12-02,1213214
2011-12-03,1215296
2011-12-04,1217322
2011-12-05,1219687
2011-12-06,1222662
2011-12-07,1225340
2011-12-08,1226693
2011-12-09,1227496
2011-12-10,1230056
2011-12-11,1232588
2011-12-12,1232660
2011-12-13,1233689
2011-12-14,1235703
2011-12-15,1238200
2011-12-16,1239924
2011-12-17,1240989
2011-12-18,1242454
2011-12-19,1244876
2011-12-20,1245940
2011-12-21,1244233
2011-12-22,1246064
2011-12-23,1248661
2011-12-24,1251547
2011-12-25,1253703
2011-12-26,1256480
2011-12-27,1259206
2011-12-28,1260439
