Date,Velocity - Daily
2011-04-24,0.0288527
2011-04-25,0.0163501
2011-04-26,0.0157029
2011-04-27,0.0308559
2011-04-28,0.0398277
2011-04-29,0.0244789
2011-04-30,0.128413
2011-05-01,0.066995
2011-05-02,0.0264443
2011-05-03,0.0193465
2011-05-04,0.0321071
2011-05-05,0.0452849
2011-05-06,0.0260837
2011-05-07,0.0466074
2011-05-08,0.0352632
2011-05-09,0.086573
2011-05-10,0.0248014
2011-05-11,0.0919336
2011-05-12,0.0285674
2011-05-13,0.0335929
2011-05-14,0.0731546
2011-05-15,0.291471
2011-05-16,0.0538986
2011-05-17,0.0379262
2011-05-18,0.0341483
2011-05-19,0.0299388
2011-05-20,0.02855
2011-05-21,0.0564528
2011-05-22,0.102763
2011-05-23,0.13919
2011-05-24,0.0733655
2011-05-25,0.056079
2011-05-26,0.0603871
2011-05-27,0.0647074
2011-05-28,0.0841513
2011-05-29,0.0352599
2011-05-30,0.0417036
2011-05-31,0.0422845
2011-06-01,0.0436503
2011-06-02,0.0426595
2011-06-03,0.0554107
2011-06-04,0.0947676
2011-06-05,0.0748544
2011-06-06,0.0851834
2011-06-07,0.129214
2011-06-08,0.0812652
2011-06-09,0.12104
2011-06-10,0.121523
2011-06-11,0.141635
2011-06-12,0.227691
2011-06-13,0.282002
2011-06-14,0.191146
2011-06-15,0.236288
2011-06-16,0.686475
2011-06-17,1.29018
2011-06-18,0.240393
2011-06-19,0.189824
2011-06-20,0.691433
2011-06-21,0.199486
2011-06-22,0.506544
2011-06-23,0.196504
2011-06-24,0.243248
2011-06-25,0.71804
2011-06-26,1.6272
2011-06-27,0.593239
2011-06-28,0.303094
2011-06-29,1.07405
2011-06-30,0.339118
2011-07-01,0.225703
2011-07-02,0.16513
2011-07-03,0.12923
2011-07-04,0.0773298
2011-07-05,0.20263
2011-07-06,0.0599626
2011-07-07,0.0835871
2011-07-08,0.0683883
2011-07-09,0.0452477
2011-07-10,0.305769
2011-07-11,0.359245
2011-07-12,0.147194
2011-07-13,0.156601
2011-07-14,0.209725
2011-07-15,0.282491
2011-07-16,0.0889164
2011-07-17,0.181246
2011-07-18,0.0827546
2011-07-19,0.481587
2011-07-20,0.399047
2011-07-21,0.0788866
2011-07-22,0.193511
2011-07-23,0.226331
2011-07-24,0.0932483
2011-07-25,0.0729515
2011-07-26,0.207735
2011-07-27,0.170013
2011-07-28,0.183172
2011-07-29,0.499081
2011-07-30,0.0939037
2011-07-31,0.0428847
2011-08-01,0.0868271
2011-08-02,0.0788211
2011-08-03,0.055613
2011-08-04,0.0617893
2011-08-05,0.0422403
2011-08-06,0.0738647
2011-08-07,0.0540435
2011-08-08,0.0487673
2011-08-09,0.176886
2011-08-10,0.32684
2011-08-11,0.159594
2011-08-12,0.0693915
2011-08-13,0.0488219
2011-08-14,0.0578712
2011-08-15,0.0512356
2011-08-16,0.0490234
2011-08-17,0.0460023
2011-08-18,0.0464352
2011-08-19,0.0572255
2011-08-20,0.0779148
2011-08-21,0.0310972
2011-08-22,0.033784
2011-08-23,0.0388351
2011-08-24,0.0615525
2011-08-25,0.0790307
2011-08-26,0.0522666
2011-08-27,0.0391063
2011-08-28,0.379283
2011-08-29,0.0248125
2011-08-30,0.034974
2011-08-31,0.0320933
2011-09-01,0.0368211
2011-09-02,0.0448627
2011-09-03,0.0356841
2011-09-04,0.0310177
2011-09-05,0.244653
2011-09-06,0.317725
2011-09-07,0.443302
2011-09-08,0.0745296
2011-09-09,0.0530504
2011-09-10,0.0550858
2011-09-11,0.037095
2011-09-12,0.141179
2011-09-13,0.0835113
